OBJECTID_1,GEOID,STUSAB,NAME,B25002EST1,B25002EST2,B25002EST2_PCT,B25002EST3,B25002EST3_PCT,B25009EST2,B25009EST2_PCT,B25009EST3,B25009EST3_PCT,B25009EST4,B25009EST4_PCT,B25009EST5,B25009EST5_PCT,B25009EST6,B25009EST6_PCT,B25009EST7,B25009EST7_PCT,B25009_OWNOCC_6PLUS,B25009_OWN_6PLUS_PCT,B25009EST10,B25009EST10_PCT,B25009EST11,B25009EST11_PCT,B25009EST12,B25009EST12_PCT,B25009EST13,B25009EST13_PCT,B25009EST14,B25009EST14_PCT,B25009EST15,B25009EST15_PCT,B25009_RENTOCC_6PLUS,B25009_RENT_6PLUS_PCT,B25009_TOT_1,B25009_TOT_1_PCT,B25009_TOT_2,B25009_TOT_2_PCT,B25009_TOT_3,B25009_TOT_3_PCT,B25009_TOT_4,B25009_TOT_4_PCT,B25009_TOT_5,B25009_TOT_5_PCT,B25009_TOT_6PLUS,B25009_TOT_6PLUS_PCT,B25037EST3,B25041EST2,B25041EST2_PCT,B25041EST3,B25041EST3_PCT,B25041EST4,B25041EST4_PCT,B25041_3PLUS_BDR,B25041_3PLUS_BDR_PCT,B25021EST1,B25021EST2,B25021EST3,B25024EST2,B25024EST2_PCT,B25024EST3,B25024EST3_PCT,B25024_2TO4,B25024_2TO4_PCT,B25024_5TO19,B25024_5TO19_PCT,B25024_20PLUS,B25024_20PLUS_PCT,B25024_OTHER,B25024_OTHER_PCT,B25032EST2,B25032EST3,B25032EST3_PCT,B25032EST4,B25032EST4_PCT,B25032_OWN_2TO4,B25032_OWN_2TO4_PCT,B25032_OWN_5TO19,B25032_OWN_5TO19_PCT,B25032_OWN_20PLUS,B25032_OWN_20PLUS_PCT,B25032_OWN_OTHER,B25032_OWN_OTHER_PCT,B25032EST13,B25032EST14,B25032EST14_PCT,B25032EST15,B25032EST15_PCT,B25032_RENT_2TO4,B25032_RENT_2TO4_PCT,B25032_RENT_5TO19,B25032_RENT_5TO19_PCT,B25032_RENT_20PLUS,B25032_RENT_20PLUS_PCT,B25032_RENT_OTHER,B25032_RENT_OTHER_PCT,B25036_OWN_2KPLUS,B25036_OWN_2KPLUS_PCT,B25036_OWN_80TO99,B25036_OWN_80TO99_PCT,B25036_OWN_50TO79,B25036_OWN_50TO79_PCT,B25036_OWN_49MINUS,B25036_OWN_49MINUS_PCT,B25036_RENT_2KPLUS,B25036_RENT_2KPLUS_PCT,B25036_RENT_80TO99,B25036_RENT_80TO99_PCT,B25036_RENT_50TO79,B25036_RENT_50TO79_PCT,B25036_RENT_49MINUS,B25036_RENT_49MINUS_PCT,B25036_RENT_80MINUS,B25036_RENT_80MINUS_PCT,B25036_TOT_2KPLUS,B25036_TOT_2KPLUS_PCT,B25036_TOT_80TO99,B25036_TOT_80TO99_PCT,B25036_TOT_50TO79,B25036_TOT_50TO79_PCT,B25036_TOT_49MINUS,B25036_TOT_49MINUS_PCT,B25068EST2,B25068EST2_PCT,B25068EST4,B25068EST4_PCT,B25068_0BDR_200TO499,B25068_0BDR_200TO499_PCT,B25068_0BDR_500TO999,B25068_0BDR_500TO999_PCT,B25068EST9,B25068EST9_PCT,B25068EST10,B25068EST10_PCT,B25068EST11,B25068EST11_PCT,B25068EST13,B25068EST13_PCT,B25068_1BDR_200TO499,B25068_1BDR_200TO499_PCT,B25068_1BDR_500TO999,B25068_1BDR_500TO999_PCT,B25068EST18,B25068EST18_PCT,B25068EST19,B25068EST19_PCT,B25068EST20,B25068EST20_PCT,B25068EST22,B25068EST22_PCT,B25068_2BDR_200TO499,B25068_2BDR_200TO499_PCT,B25068_2BDR_500TO999,B25068_2BDR_500TO999_PCT,B25068EST27,B25068EST27_PCT,B25068EST28,B25068EST28_PCT,B25068EST29,B25068EST29_PCT,B25068EST31,B25068EST31_PCT,B25068_3PLUSBDR_200TO499,B25068_3PLUSBDR_200TO499_PCT,B25068_3PLUSBDR_500TO999,B25068_3PLUSBDR_500TO999_PCT,B25068EST36,B25068EST36_PCT,B25068EST37,B25068EST37_PCT,B25056_500MINUS,B25056_500MINUS_PCT,B25056_500TO599,B25056_500TO599_PCT,B25056_600TO699,B25056_600TO699_PCT,B25056_700TO799,B25056_700TO799_PCT,B25056EST18,B25056EST18_PCT,B25056EST19,B25056EST19_PCT,B25056EST20,B25056EST20_PCT,B25056EST21,B25056EST21_PCT,B25056EST22,B25056EST22_PCT,B25056EST23,B25056EST23_PCT,B25056EST24,B25056EST24_PCT,B25058EST1,B25042EST3,B25042EST3_PCT,B25042EST4,B25042EST4_PCT,B25042EST5,B25042EST5_PCT,B25042_OWN_3PLUS_BDR,B25042_OWN_3PLUS_BDR_PCT,B25042EST10,B25042EST10_PCT,B25042EST11,B25042EST11_PCT,B25042EST12,B25042EST12_PCT,B25042_RENT_3PLUS_BDR,B25042_RENT_3PLUS_BDR_PCT,B25097EST1,B25097EST2,B25097EST3,B25123_TOT,B25123_TOT_1,B25123_TOT_2,B25123_TOT_3,B25123_TOT_4,B25123EST3,B25123EST3_PCT,B25123EST4,B25123EST4_PCT,B25123EST5,B25123EST5_PCT,B25123EST6,B25123EST6_PCT,B25123EST7,B25123EST7_PCT,B25123EST9,B25123EST9_PCT,B25123EST10,B25123EST10_PCT,B25123EST11,B25123EST11_PCT,B25123EST12,B25123EST12_PCT,B25123EST13,B25123EST13_PCT,Shape__Area,Shape__Length
25,35,NM,New Mexico,943568,792755,84.02,150813,15.98,539082,68,145000,26.9,205264,38.08,78050,14.48,61993,11.5,29177,5.41,19598,3.64,253673,32,101025,39.82,68097,26.84,36366,14.34,26348,10.39,13503,5.32,8334,3.29,246025,31.03,273361,34.48,114416,14.43,88341,11.14,42680,5.38,27932,3.52,1981,29418,3.12,80847,8.57,231831,24.57,601472,63.74,5.4,5.9,4.4,608157,64.45,32781,3.47,53023,5.62,48467,5.14,40966,4.34,160174,16.98,539082,424045,78.66,16472,3.06,3149,0.58,1772,0.33,1131,0.21,92513,17.16,253673,97661,38.5,12123,4.78,39951,15.75,37150,14.64,33643,13.26,33145,13.07,122289,22.68,189132,35.08,186224,34.54,41437,7.69,43318,17.08,86999,34.3,102507,40.41,20849,8.22,123356,48.63,165607,20.89,276131,34.83,288731,36.42,62286,7.86,14890,5.87,1390,9.34,3148,21.14,8088,54.32,1445,91803.54,819,5.5,49771,19.62,4834,9.71,4868,9.78,31215,62.72,7121,14.31,1733,3.48,87883,34.64,3678,4.19,5564,6.33,48868,55.61,22562,25.67,7211,8.21,101129,39.87,1792,1.77,4753,4.7,28643,28.32,51867,51.29,14074,13.92,48443,19.1,26367,10.39,31350,12.36,26104,10.29,23939,9.44,18352,7.23,30350,11.96,14899,5.87,7327,2.89,2705,1.07,23837,9.4,732,4494,0.83,13136,2.44,92482,17.16,428970,79.57,14890,5.87,49771,19.62,87883,34.64,101129,39.87,175700,193800,153900,556310,223299,11801,1258,87,115847,21.49,4371,0.81,892,0.17,40,0.01,417932,77.53,107452,42.36,7430,2.93,366,0.14,47,0.02,138378,54.55,464401859151.664,2899922.2095487
26,32,NV,Nevada,1268533,1130011,89.08,138522,10.92,644864,57.07,150217,23.29,245410,38.06,97329,15.09,82655,12.82,42536,6.6,26717,4.14,485147,42.93,168766,34.79,137538,28.35,72715,14.99,54464,11.23,30374,6.26,21290,4.39,318983,28.23,382948,33.89,170044,15.05,137119,12.13,72910,6.45,48007,4.25,1992,44707,3.52,127431,10.05,327362,25.81,769033,60.62,5.3,6.1,4.3,760574,59.96,59131,4.66,99835,7.87,161134,12.7,118750,9.36,69109,5.45,644864,542019,84.05,31437,4.87,12276,1.9,12733,1.97,6097,0.95,40302,6.25,485147,163312,33.66,22061,4.55,75706,15.6,122159,25.18,84087,17.33,17822,3.67,253566,39.32,255509,39.62,124630,19.33,11159,1.73,136976,28.23,218272,44.99,117114,24.14,12785,2.64,129899,26.78,390542,34.56,473781,41.93,241744,21.39,23944,2.12,27499,5.67,1034,3.76,2360,8.58,16416,59.7,7276,583305.25,413,1.5,92059,18.98,2751,2.99,4081,4.43,50986,55.38,33505,36.4,736,0.8,180655,37.24,1490,0.82,3169,1.75,65570,36.3,106522,58.96,3904,2.16,184934,38.12,731,0.4,1925,1.04,16799,9.08,156795,84.78,8684,4.7,25358,5.23,24080,4.96,36327,7.49,47004,9.69,51731,10.66,49023,10.1,109172,22.5,71834,14.81,44172,9.1,12709,2.62,13737,2.83,1005,4065,0.63,10301,1.6,101848,15.79,528650,81.98,27499,5.67,92059,18.98,180655,37.24,184934,38.12,290200,298200,267400,726217,381021,21283,1465,25,158093,24.52,3299,0.51,520,0.08,25,0,482927,74.89,222928,45.95,17984,3.71,945,0.19,0,0,243290,50.15,480297136375.617,3054887.87943012
27,36,NY,New York,8362971,7417224,88.69,945747,11.31,4014516,54.12,917698,22.86,1379281,34.36,672729,16.76,607688,15.14,265280,6.61,171840,4.28,3402708,45.88,1291111,37.94,945990,27.8,519392,15.26,353539,10.39,168422,4.95,124254,3.65,2208809,29.78,2325271,31.35,1192121,16.07,961227,12.96,433702,5.85,296094,3.99,1955,400256,4.79,1567814,18.75,2241039,26.8,4153862,49.67,5.1,6.4,3.8,3500053,41.85,441437,5.28,1421217,16.99,781194,9.34,2026561,24.23,192509,2.3,4014516,2788009,69.45,303516,7.56,369856,9.21,82945,2.07,359644,8.96,110546,2.75,3402708,309234,9.09,106506,3.13,855156,25.13,620738,18.24,1472251,43.27,38823,1.14,346675,8.64,618908,15.42,1652799,41.17,1396134,34.78,332889,9.78,407666,11.98,1155625,33.96,1506528,44.27,2662153,78.24,679564,9.16,1026574,13.84,2808424,37.86,2902662,39.13,290281,8.53,24241,8.35,19418,6.69,63791,21.98,175985,7047336.35,6846,2.36,1121248,32.95,75821,6.76,73597,6.56,241921,21.58,708810,63.22,21099,1.88,1221645,35.9,40657,3.33,55878,4.57,286094,23.42,801854,65.64,37162,3.04,769534,22.62,15557,2.02,27278,3.54,155595,20.22,519142,67.46,51962,6.75,417632,12.27,144727,4.25,168095,4.94,182144,5.35,205824,6.05,175831,5.17,453211,13.32,385071,11.32,567871,16.69,585233,17.2,117069,3.44,1192,39198,0.98,243635,6.07,742012,18.48,2989671,74.47,290281,8.53,1121248,32.95,1221645,35.9,769534,22.62,325000,343700,292500,4559792,2652449,194128,10014,841,1064950,26.53,34051,0.85,3123,0.08,279,0.01,2912113,72.54,1587499,46.65,160077,4.7,6891,0.2,562,0.02,1647679,48.42,235099335714.918,7928104.61918004
28,02,AK,Alaska,318370,255173,80.15,63197,19.85,165376,64.81,37160,22.47,58834,35.58,25638,15.5,23016,13.92,10944,6.62,9784,5.92,89797,35.19,29873,33.27,26878,29.93,13268,14.78,9717,10.82,5727,6.38,4334,4.83,67033,26.27,85712,33.59,38906,15.25,32733,12.83,16671,6.53,14118,5.53,1984,19898,6.25,42648,13.4,83611,26.26,172213,54.09,5.1,5.7,4,200622,63.02,23696,7.44,40552,12.74,23238,7.3,15561,4.89,14701,4.62,165376,132326,80.02,12135,7.34,7383,4.46,3487,2.11,2030,1.23,8015,4.85,89797,25613,28.52,9725,10.83,25065,27.91,15180,16.9,11091,12.35,3123,3.48,36174,21.87,67680,40.92,57444,34.74,4078,2.47,17751,19.77,35660,39.71,32684,36.4,3702,4.12,36386,40.52,53925,21.13,103340,40.5,90128,35.32,7780,3.05,5544,6.17,223,4.02,420,7.58,3301,59.54,1126,95703.05,474,8.55,19071,21.24,498,2.61,1912,10.03,9058,47.5,6412,33.62,1191,6.25,32983,36.73,334,1.01,953,2.89,5529,16.76,24037,72.88,2130,6.46,32199,35.86,163,0.51,514,1.6,2811,8.73,25026,77.72,3685,11.44,7800,8.69,3292,3.67,2988,3.33,4241,4.72,6750,7.52,7721,8.6,17094,19.04,11427,12.73,13361,14.88,7643,8.51,7480,8.33,1122,2410,1.46,9020,5.45,32482,19.64,121464,73.45,5544,6.17,19071,21.24,32983,36.73,32199,35.86,275600,292800,234400,168047,75064,9222,2683,157,38631,23.36,4551,2.75,1550,0.94,72,0.04,120572,72.91,36433,40.57,4671,5.2,1133,1.26,85,0.09,47475,52.87,8140882121307.4,123283276.897757
29,01,AL,Alabama,2270398,1888504,83.18,381894,16.82,1306505,69.18,329415,25.21,505876,38.72,207856,15.91,162416,12.43,68317,5.23,32625,2.5,581999,30.82,237911,40.88,155362,26.69,87145,14.97,59148,10.16,27007,4.64,15426,2.65,567326,30.04,661238,35.01,295001,15.62,221564,11.73,95324,5.05,48051,2.54,1982,35353,1.56,138144,6.08,509414,22.44,1587487,69.92,5.9,6.5,4.7,1559486,68.69,37315,1.64,111820,4.93,169688,7.47,92762,4.09,299327,13.18,1306505,1111604,85.08,19414,1.49,4130,0.32,4602,0.35,3253,0.25,163502,12.51,581999,227122,39.02,13741,2.36,85034,14.61,129896,22.32,60607,10.41,65599,11.27,332496,25.45,426355,32.63,445956,34.13,101698,7.78,110151,18.93,198030,34.03,220045,37.81,53773,9.24,273818,47.05,442647,23.44,624385,33.06,666001,35.27,155471,8.23,19713,3.39,2593,13.15,4076,20.68,9572,48.56,2647,183804.1,825,4.19,92672,15.92,11654,12.58,16201,17.48,49200,53.09,12485,13.47,3132,3.38,221965,38.14,9139,4.12,21556,9.71,125495,56.54,46861,21.11,18914,8.52,247649,42.55,4634,1.87,12335,4.98,100880,40.74,91669,37.02,38131,15.4,186467,32.04,74312,12.77,64636,11.11,54075,9.29,42861,7.36,27396,4.71,38387,6.6,17418,2.99,10482,1.8,4963,0.85,61002,10.48,600,4590,0.35,15145,1.16,165731,12.69,1121039,85.8,19713,3.39,92672,15.92,221965,38.14,247649,42.55,149600,164800,117900,1413577,457987,16099,841,0,225708,17.28,5103,0.39,361,0.03,0,0,1075333,82.31,232279,39.91,10996,1.89,480,0.08,0,0,338244,58.12,189943759903.662,2730222.44230451
30,05,AR,Arkansas,1379778,1170544,84.84,209234,15.16,770477,65.82,184687,23.97,305502,39.65,119716,15.54,93688,12.16,41925,5.44,24959,3.24,400067,34.18,151287,37.82,106806,26.7,61860,15.46,44970,11.24,21956,5.49,13188,3.3,335974,28.7,412308,35.22,181576,15.51,138658,11.85,63881,5.46,38147,3.26,1984,30184,2.19,101405,7.35,354832,25.72,893357,64.75,5.6,6.1,4.5,967835,70.14,22367,1.62,90476,6.56,96794,7.02,39519,2.86,162787,11.8,770477,670411,87.01,7074,0.92,2655,0.34,1161,0.15,1117,0.14,88059,11.43,400067,167083,41.76,13032,3.26,72495,18.12,79641,19.91,32454,8.11,35362,8.84,202668,26.3,248596,32.27,263737,34.23,55476,7.2,88444,22.11,139533,34.88,138984,34.74,33106,8.28,172090,43.02,291112,24.87,388129,33.16,402721,34.4,88582,7.57,18122,4.53,3485,19.23,3567,19.68,8484,46.82,1640,77404.78,946,5.22,67687,16.92,8774,12.96,13805,20.4,37880,55.96,4563,6.74,2665,3.94,158780,39.69,6728,4.24,12801,8.06,108431,68.29,19431,12.24,11389,7.17,155478,38.86,2178,1.4,7235,4.65,71140,45.76,53577,34.46,21348,13.73,130596,32.64,62773,15.69,56396,14.1,40583,10.14,24062,6.01,14542,3.63,19910,4.98,6902,1.73,3991,1,3964,0.99,36348,9.09,579,3389,0.44,14049,1.82,125848,16.33,627191,81.4,18122,4.53,67687,16.92,158780,39.69,155478,38.86,133600,148700,109900,875692,279600,14021,1231,0,125882,16.34,3881,0.5,588,0.08,0,0,640126,83.08,153718,38.42,10140,2.53,643,0.16,0,0,235566,58.88,205402711845.785,2683802.42350684
31,04,AZ,Arizona,3040595,2643430,86.94,397165,13.06,1727176,65.34,403865,23.38,685923,39.71,234376,13.57,213531,12.36,107984,6.25,81497,4.72,916254,34.66,322340,35.18,251371,27.43,133271,14.55,101883,11.12,58795,6.42,48594,5.3,726205,27.47,937294,35.46,367647,13.91,315414,11.93,166779,6.31,130091,4.92,1987,88018,2.89,336662,11.07,791660,26.04,1824255,60,5.4,6,4.2,1947438,64.05,149295,4.91,142703,4.69,247576,8.14,228117,7.5,325466,10.7,1727176,1414094,81.87,84400,4.89,13827,0.8,17285,1,14829,0.86,182741,10.58,916254,324965,35.47,44920,4.9,109812,11.98,194539,21.23,184540,20.14,57478,6.27,583764,33.8,622756,36.06,478205,27.69,42451,2.46,227292,24.81,366171,39.96,291055,31.77,31736,3.46,322791,35.23,811056,30.68,988927,37.41,769260,29.1,74187,2.81,57098,6.23,2430,4.26,5181,9.07,31618,55.37,15709,1219706.15,2160,3.78,206209,22.51,8537,4.14,11193,5.43,106296,51.55,75473,36.6,4710,2.28,319836,34.91,4349,1.36,7906,2.47,119438,37.34,174066,54.42,14077,4.4,333111,36.36,2777,0.83,7151,2.15,53056,15.93,245664,73.75,24463,7.34,84426,9.21,63123,6.89,77232,8.43,90126,9.84,99329,10.84,89206,9.74,170616,18.62,99627,10.87,69154,7.55,28005,3.06,45410,4.96,924,11058,0.64,57608,3.34,335758,19.44,1322752,76.58,57098,6.23,206209,22.51,319836,34.91,333111,36.36,242000,258400,204300,1813405,772554,53951,3354,166,376491,21.8,15252,0.88,1758,0.1,106,0.01,1333569,77.21,396063,43.23,38699,4.22,1596,0.17,60,0.01,479836,52.37,434050856294.648,2906930.96148123
32,47,TN,Tennessee,2996127,2639455,88.1,356672,11.9,1756534,66.55,416525,23.71,692282,39.41,282083,16.06,221786,12.63,93230,5.31,50628,2.88,882921,33.45,337639,38.24,247280,28.01,135414,15.34,90050,10.2,45948,5.2,26590,3.01,754164,28.57,939562,35.6,417497,15.82,311836,11.81,139178,5.27,77218,2.93,1982,47204,1.58,232770,7.77,761946,25.43,1954207,65.22,5.8,6.4,4.5,2054334,68.57,99564,3.32,174123,5.81,251348,8.39,145718,4.86,271040,9.05,1756534,1526778,86.92,56490,3.22,11634,0.66,9097,0.52,7225,0.41,145310,8.27,882921,325116,36.82,34394,3.9,136848,15.5,202015,22.88,111117,12.59,73431,8.32,463100,26.36,569435,32.42,565538,32.2,158461,9.02,186030,21.07,281529,31.89,320534,36.3,94828,10.74,415362,47.04,649130,24.59,850964,32.24,886072,33.57,253289,9.6,28891,3.27,4180,14.47,3713,12.85,11277,39.03,8695,503512.67,1026,3.55,165195,18.71,17824,10.79,19471,11.79,77950,47.19,45164,27.34,4786,2.9,362846,41.1,11038,3.04,22401,6.17,191417,52.75,115732,31.9,22258,6.13,325989,36.92,5987,1.84,11716,3.59,115954,35.57,154107,47.27,38225,11.73,199624,22.61,102521,11.61,98975,11.21,87626,9.92,71068,8.05,56128,6.36,91745,10.39,52873,5.99,39007,4.42,17059,1.93,66295,7.51,708,5374,0.31,23764,1.35,264126,15.04,1463270,83.3,28891,3.27,165195,18.71,362846,41.1,325989,36.92,177600,192800,158000,1943019,668143,26356,1894,43,306595,17.45,6449,0.37,694,0.04,10,0,1442786,82.14,361548,40.95,19907,2.25,1200,0.14,33,0,500233,56.66,166421163298.055,2629506.49577446
33,48,TX,Texas,11112975,9906070,89.14,1206905,10.86,6168808,62.27,1177831,19.09,2108715,34.18,1056738,17.13,997036,16.16,505751,8.2,322737,5.23,3737262,37.73,1329624,35.58,996387,26.66,568527,15.21,443677,11.87,243409,6.51,155638,4.16,2507455,25.31,3105102,31.35,1625265,16.41,1440713,14.54,749160,7.56,478375,4.83,1987,262759,2.36,1405448,12.65,2450868,22.05,6993900,62.93,5.5,6.3,4.1,7232758,65.08,298606,2.69,570286,5.13,1178924,10.61,1048049,9.43,784352,7.06,6168808,5472258,88.71,142416,2.31,32127,0.52,28887,0.47,34767,0.56,458353,7.43,3737262,1124966,30.1,129814,3.47,466592,12.48,969582,25.94,868962,23.25,177346,4.75,2082082,33.75,1822880,29.55,1864997,30.23,398849,6.47,1040538,27.84,1279711,34.24,1197038,32.03,219975,5.89,1417013,37.92,3122620,31.52,3102591,31.32,3062035,30.91,618824,6.25,175282,4.69,7825,4.46,12831,7.32,82550,47.1,66762,5098609,5314,3.03,1072520,28.7,42816,3.99,49582,4.62,510010,47.55,454763,42.4,15349,1.43,1312646,35.12,25673,1.96,43979,3.35,473492,36.07,717663,54.67,51839,3.95,1176814,31.49,10655,0.91,25871,2.2,236002,20.05,797508,67.77,106778,9.07,381975,10.22,231378,6.19,325010,8.7,393618,10.53,397007,10.62,344733,9.22,623248,16.68,394151,10.55,331478,8.87,135384,3.62,179280,4.8,915,36968,0.6,105169,1.7,748504,12.13,5278167,85.56,175282,4.69,1072520,28.7,1312646,35.12,1176814,31.49,187200,215700,150300,6769361,2926188,201912,8184,425,1307897,21.2,47813,0.78,3038,0.05,78,0,4809982,77.97,1618291,43.3,154099,4.12,5146,0.14,347,0.01,1959379,52.43,947947414355.516,14305492.3942274
34,49,UT,Utah,1110369,1003345,90.36,107024,9.64,707663,70.53,114842,16.23,228108,32.23,106431,15.04,106180,15,74468,10.52,77634,10.97,295682,29.47,81075,27.42,88395,29.9,48000,16.23,38605,13.06,19978,6.76,19629,6.64,195917,19.53,316503,31.54,154431,15.39,144785,14.43,94446,9.41,97263,9.69,1985,20646,1.86,77021,6.94,213642,19.24,799060,71.96,6.6,7.6,4.3,761130,68.55,74233,6.69,74687,6.73,84644,7.62,80443,7.24,35232,3.17,707663,618738,87.43,43283,6.12,9774,1.38,10191,1.44,5374,0.76,20303,2.87,295682,81435,27.54,26529,8.97,56038,18.95,63318,21.41,60747,20.54,7615,2.58,233073,32.94,202777,28.65,206426,29.17,65387,9.24,79042,26.73,89504,30.27,93632,31.67,33504,11.33,127136,43,312115,31.11,292281,29.13,300058,29.91,98891,9.86,12739,4.31,803,6.3,1478,11.6,6156,48.32,3873,258410.12,429,3.37,54797,18.53,2905,5.3,3802,6.94,27881,50.88,19414,35.43,795,1.45,110516,37.38,1690,1.53,3356,3.04,46173,41.78,55663,50.37,3634,3.29,117630,39.78,667,0.57,3492,2.97,21235,18.05,84925,72.2,7311,6.22,26548,8.98,16878,5.71,20386,6.89,31603,10.69,30476,10.31,27315,9.24,55892,18.9,36823,12.45,28923,9.78,8669,2.93,12169,4.12,958,2010,0.28,8163,1.15,74505,10.53,622985,88.03,12739,4.31,54797,18.53,110516,37.38,117630,39.78,305400,311500,290700,731788,255696,15036,712,113,134906,19.06,3702,0.52,193,0.03,64,0.01,568798,80.38,120790,40.85,11334,3.83,519,0.18,49,0.02,162990,55.12,368285906674.281,2557182.00923006
35,51,VA,Virginia,3537788,3184121,90,353667,10,2123771,66.7,486500,22.91,786636,37.04,350264,16.49,306213,14.42,126047,5.94,68111,3.21,1060350,33.3,387809,36.57,305567,28.82,159411,15.03,118569,11.18,54909,5.18,34085,3.21,874309,27.46,1092203,34.3,509675,16.01,424782,13.34,180956,5.68,102196,3.21,1981,59030,1.67,293467,8.3,808021,22.84,2377270,67.2,6.1,7,4.4,2183734,61.73,392817,11.1,153187,4.33,356790,10.09,276567,7.82,174693,4.94,2123771,1694877,79.81,247596,11.66,14590,0.69,37415,1.76,38986,1.84,90307,4.25,1060350,287504,27.11,123488,11.65,116757,11.01,280708,26.47,207850,19.6,44043,4.15,493764,23.25,707082,33.29,709670,33.42,213255,10.04,211151,19.91,337448,31.82,386652,36.46,125099,11.8,511751,48.26,704915,22.14,1044530,32.8,1096322,34.43,338354,10.63,42920,4.05,2520,5.87,2243,5.23,10077,23.48,26624,1390029.65,1456,3.39,219747,20.72,13967,6.36,12596,5.73,59492,27.07,129001,58.7,4691,2.13,414959,39.13,10754,2.59,15647,3.77,124140,29.92,248521,59.89,15897,3.83,382724,36.09,4974,1.3,8977,2.35,67992,17.77,267973,70.02,32808,8.57,126262,11.91,54676,5.16,60452,5.7,69557,6.56,74159,6.99,67424,6.36,142825,13.47,120806,11.39,170948,16.12,118389,11.17,54852,5.17,1088,5253,0.25,34021,1.6,274551,12.93,1809946,85.22,42920,4.05,219747,20.72,414959,39.13,382724,36.09,282800,305000,232300,2282294,865431,33723,2466,207,418936,19.73,6783,0.32,665,0.03,7,0,1697380,79.92,446495,42.11,26940,2.54,1801,0.17,200,0.02,584914,55.16,164978394198.191,10760945.4895836
36,50,VT,Vermont,337214,262852,77.95,74362,22.05,187374,71.28,46793,24.97,80163,42.78,26823,14.32,22611,12.07,7385,3.94,3599,1.92,75478,28.72,34033,45.09,22364,29.63,9895,13.11,6263,8.3,1838,2.44,1085,1.44,80826,30.75,102527,39.01,36718,13.97,28874,10.98,9223,3.51,4684,1.78,1967,13736,4.07,36653,10.87,90236,26.76,196589,58.3,5.7,6.4,4,225760,66.95,14045,4.17,39820,11.81,22225,6.59,13648,4.05,21716,6.44,187374,157559,84.09,7550,4.03,5769,3.08,1828,0.98,791,0.42,13877,7.41,75478,16168,21.42,2555,3.39,26718,35.4,15262,20.22,10880,14.41,3895,5.16,31236,16.67,52671,28.11,55932,29.85,47535,25.37,9674,12.82,14986,19.85,21804,28.89,29014,38.44,50818,67.33,40910,15.56,67657,25.74,77736,29.57,76549,29.12,6864,9.09,647,9.43,694,10.11,3686,53.7,1680,131805.27,157,2.29,21358,28.3,2177,10.19,2249,10.53,10963,51.33,5432,25.43,537,2.51,28126,37.26,555,1.97,864,3.07,8803,31.3,16585,58.97,1319,4.69,19130,25.35,226,1.18,575,3.01,4134,21.61,11806,61.71,2389,12.49,9769,12.94,4431,5.87,6193,8.21,8679,11.5,8396,11.12,6099,8.08,11718,15.53,7453,9.87,5741,7.61,2597,3.44,4402,5.83,877,1111,0.59,6437,3.44,41492,22.14,138334,73.83,6864,9.09,21358,28.3,28126,37.26,19130,25.35,230900,237500,218600,179673,80138,2760,281,0,46781,24.97,1054,0.56,48,0.03,0,0,139491,74.45,33357,44.19,1706,2.26,233,0.31,0,0,40182,53.24,48271500537.5586,1280923.18604162
37,53,WA,Washington,3150194,2905822,92.24,244372,7.76,1838059,63.25,379909,20.67,714518,38.87,294296,16.01,267563,14.56,109945,5.98,71828,3.91,1067763,36.75,395699,37.06,314911,29.49,151186,14.16,115918,10.86,53499,5.01,36550,3.42,775608,26.69,1029429,35.43,445482,15.33,383481,13.2,163444,5.62,108378,3.73,1983,121077,3.84,366706,11.64,775944,24.63,1886467,59.88,5.6,6.5,4,1987145,63.08,126672,4.02,185485,5.89,292636,9.29,362458,11.51,195798,6.22,1838059,1553430,84.51,64073,3.49,23561,1.28,30652,1.67,34731,1.89,131612,7.16,1067763,288322,27,56123,5.26,145863,13.66,238909,22.37,295639,27.69,42907,4.02,439523,23.91,537396,29.24,581795,31.65,279345,15.2,243462,22.8,329041,30.82,354512,33.2,140748,13.18,495260,46.38,682985,23.5,866437,29.82,936307,32.22,420093,14.46,91335,8.55,5248,5.75,4684,5.13,25615,28.05,53732,2450232,2056,2.25,271574,25.43,16375,6.03,14976,5.51,75395,27.76,160359,59.05,4469,1.65,394939,36.99,6553,1.66,8362,2.12,91364,23.13,277421,70.24,11239,2.85,309915,29.02,2612,0.84,4746,1.53,36597,11.81,242357,78.2,23603,7.62,85090,7.97,40262,3.77,46468,4.35,63440,5.94,74122,6.94,70111,6.57,165428,15.49,150654,14.11,200220,18.75,130601,12.23,41367,3.87,1202,9772,0.53,51680,2.81,304580,16.57,1472027,80.09,91335,8.55,271574,25.43,394939,36.99,309915,29.02,366800,379600,334000,1958393,890865,53416,2979,169,428725,23.32,10248,0.56,879,0.05,40,0,1398167,76.07,462140,43.28,43168,4.04,2100,0.2,129,0.01,560226,52.47,381941244378.266,8695701.18611524
